Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num
131,114,0,MEM,0.551,0.46399999999999997,0.563,0.444,36,12,29,16,89,23,84,24,6,9,122.81729755068558,106.8791749677722,3.0,1.8125,106.6625,18,24
105,95,1,HOU,0.46799999999999997,0.42100000000000004,0.33299999999999996,0.316,29,14,19,20,94,15,76,25,15,9,96.7741935483871,87.55760368663594,2.0714285714285716,0.95,108.5,18,19
96,92,1,BOS,0.44299999999999995,0.40700000000000003,0.25,0.259,24,17,21,11,88,13,81,23,11,5,93.61287176986835,89.71233544612384,1.411764705882353,1.9090909090909092,102.55,18,3
116,104,1,PHO,0.473,0.5,0.452,0.34299999999999997,24,10,25,12,91,23,82,12,19,7,119.20359666024405,106.87219010918434,2.4,2.0833333333333335,97.3125,18,25
117,104,1,WAS,0.522,0.42100000000000004,0.25,0.25,31,20,26,12,90,23,95,21,10,5,107.38871041762278,95.45663148233136,1.55,2.1666666666666665,108.94999999999999,18,10
97,100,0,SAC,0.414,0.385,0.344,0.242,23,16,22,14,87,21,96,21,9,13,96.06338202525379,99.03441445902452,1.4375,1.5714285714285714,100.975,18,27
96,105,1,LAL,0.40700000000000003,0.46399999999999997,0.207,0.292,26,11,24,16,91,17,84,30,7,14,91.2872934743849,99.84547723760848,2.3636363636363638,1.5,105.1625,18,16
129,92,0,NYK,0.563,0.41,0.5379999999999999,0.265,38,13,23,14,87,18,83,23,9,5,124.95459498728661,89.11490495217339,2.923076923076923,1.6428571428571428,103.2375,18,12
95,108,0,BOS,0.415,0.537,0.16699999999999998,0.371,18,12,21,15,94,15,82,8,12,4,90.50851494581397,102.89389067524115,1.5,1.4,104.9625,18,3
102,105,0,BRK,0.40399999999999997,0.46,0.429,0.25,25,12,25,11,89,14,87,23,7,10,101.20302616891976,104.1795857621233,2.0833333333333335,2.272727272727273,100.7875,18,7
92,97,0,PHI,0.435,0.41600000000000004,0.259,0.33299999999999996,29,13,24,15,85,12,89,16,5,12,94.69891919711785,99.84559958826557,2.230769230769231,1.6,97.15,18,6
114,99,1,POR,0.47700000000000004,0.47700000000000004,0.5,0.3,25,10,22,8,88,19,86,11,15,7,122.41610738255034,106.30872483221476,2.5,2.75,93.125,18,23
110,102,1,OKC,0.506,0.469,0.259,0.261,30,15,22,15,85,23,81,23,10,7,107.39565535757872,99.5850622406639,2.0,1.4666666666666666,102.425,18,20
111,105,1,NYK,0.46799999999999997,0.46799999999999997,0.35700000000000004,0.25,27,9,20,11,94,19,94,10,17,14,116.36744856506355,110.07731621019525,3.0,1.8181818181818181,95.3875,18,12
113,104,1,ORL,0.47600000000000003,0.425,0.40700000000000003,0.379,28,17,25,12,84,25,87,21,14,8,114.80822961645924,105.66421132842265,1.6470588235294117,2.0833333333333335,98.425,18,8
109,100,1,MIN,0.494,0.414,0.35700000000000004,0.23800000000000002,27,15,20,14,89,12,87,27,10,16,109.25949129181807,100.23806540533768,1.8,1.4285714285714286,99.7625,18,29
128,104,0,LAL,0.489,0.47,0.344,0.345,31,8,18,19,92,30,83,22,17,18,127.55356253114101,103.63726955655208,3.875,0.9473684210526315,100.35,18,16
113,111,0,PHO,0.551,0.483,0.536,0.35100000000000003,31,21,29,17,78,15,87,18,6,9,116.09092076537819,114.0362142031591,1.4761904761904763,1.7058823529411764,97.3375,18,25
100,112,1,NOP,0.402,0.456,0.324,0.419,24,12,23,18,92,18,90,12,13,14,99.37888198757764,111.30434782608695,2.0,1.2777777777777777,100.625,18,28
119,110,1,MEM,0.484,0.488,0.31,0.3,28,10,32,17,93,27,84,25,10,11,109.82925703737887,101.52284263959392,2.8,1.8823529411764706,108.35,18,24
120,115,1,SAC,0.519,0.529,0.276,0.382,23,12,32,12,81,31,85,17,10,9,126.44889357218123,121.18018967334035,1.9166666666666667,2.6666666666666665,94.9,18,27
104,130,0,HOU,0.46399999999999997,0.529,0.32,0.47100000000000003,25,16,20,15,97,9,87,31,14,13,95.85253456221197,119.81566820276497,1.5625,1.3333333333333333,108.5,18,19
124,116,0,IND,0.529,0.524,0.29600000000000004,0.462,27,10,32,9,87,27,82,25,15,9,128.03304078471865,119.77284460505938,2.7,3.5555555555555554,96.85,18,4
114,128,0,WAS,0.46,0.5489999999999999,0.207,0.375,18,12,20,11,87,34,91,27,9,14,112.32910456952825,126.12390688508435,1.5,1.8181818181818181,101.48750000000001,18,10
123,115,0,ATL,0.511,0.455,0.33299999999999996,0.462,27,4,24,10,92,27,77,32,7,4,114.4053017091036,106.96430647599115,6.75,2.4,107.5125,18,14
107,106,0,DAL,0.48200000000000004,0.506,0.375,0.34299999999999997,27,12,27,13,85,20,77,24,9,6,106.52065704330514,105.52513688402189,2.25,2.076923076923077,100.45,18,22
103,111,1,CLE,0.43200000000000005,0.494,0.205,0.324,23,5,22,14,95,18,89,13,11,12,102.62797359571553,110.59907834101384,4.6,1.5714285714285714,100.3625,18,15
114,104,1,LAC,0.48100000000000004,0.452,0.44,0.242,24,13,21,14,77,37,84,26,9,10,118.79640484564283,108.37566757848116,1.8461538461538463,1.5,95.9625,18,17
100,86,1,CHO,0.48100000000000004,0.40700000000000003,0.321,0.34299999999999997,28,11,28,14,79,25,81,14,3,9,105.52697533306952,90.75319878643978,2.5454545454545454,2.0,94.7625,18,9
134,131,0,GSW,0.47,0.442,0.486,0.444,31,20,36,18,100,26,95,31,15,10,111.63178173487451,109.13256274081019,1.55,2.0,120.0375,18,30
107,115,1,IND,0.466,0.5,0.13,0.44799999999999995,22,9,31,14,88,32,86,19,12,11,106.87976026969659,114.87077038331874,2.4444444444444446,2.2142857142857144,100.11250000000001,18,4
107,100,0,MIN,0.478,0.418,0.355,0.31,26,13,26,9,90,12,91,14,13,11,112.42448121880744,105.06960861570789,2.0,2.888888888888889,95.17500000000001,18,29
105,121,0,HOU,0.457,0.47200000000000003,0.35700000000000004,0.44799999999999995,25,15,26,17,92,15,89,28,13,18,102.2270901788974,117.8045515394913,1.6666666666666667,1.5294117647058822,102.7125,18,19
113,106,0,NOP,0.377,0.46299999999999997,0.317,0.444,26,11,24,17,106,20,82,30,24,12,99.23161361141602,93.08452250274424,2.3636363636363638,1.411764705882353,113.875,18,28
117,110,1,HOU,0.473,0.455,0.39299999999999996,0.33299999999999996,28,14,19,16,93,20,88,27,11,15,110.20840692334866,103.61474155186625,2.0,1.1875,106.1625,18,19
